[2023-01-06T23:07:54.078Z] : [success]: Robot saved successfully


  ==========================================
  Studio Pro version: 8.7.11
  Started at: 7/1/2023 15:30:22
  ==========================================
  

[2023-01-07T21:33:36.834Z] : [success]: Robot saved successfully


  ==========================================
  Studio Pro version: 8.7.11
  Started at: 7/1/2023 15:41:12
  ==========================================
  

[2023-01-07T21:42:38.334Z] : [success]: Robot saved successfully

[2023-01-07T21:59:56.305Z] : [success]: Bot started

[2023-01-07T21:59:56.309Z] : [info]: Robot start

[2023-01-07T21:59:57.589Z] : [error]: Unable to execute this activity because you do not have a Python interpreter installed on the computer

[2023-01-07T21:59:57.594Z] : [error]: Total execution time: 1s 279ms

[2023-01-07T21:59:57.598Z] : [info]: ---------------------------------------------

[2023-01-07T23:39:13.685Z] : [warn]: There is a small amount of free memory (RAM) left, 94.34% of RAM is being used (15332 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.
[2023-01-08T13:46:43.839Z] : [warn]: There is a small amount of free memory (RAM) left, 94.41% of RAM is being used (15344 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T13:49:43.876Z] : [warn]: There is a small amount of free memory (RAM) left, 91.77% of RAM is being used (14914 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T13:52:43.902Z] : [warn]: There is a small amount of free memory (RAM) left, 99.9% of RAM is being used (16235 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T13:58:13.698Z] : [warn]: There is a small amount of free memory (RAM) left, 96.24% of RAM is being used (15641 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T14:01:13.805Z] : [warn]: There is a small amount of free memory (RAM) left, 96.27% of RAM is being used (15646 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T14:04:13.822Z] : [warn]: There is a small amount of free memory (RAM) left, 96.83% of RAM is being used (15737 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T14:07:13.834Z] : [warn]: There is a small amount of free memory (RAM) left, 95.45% of RAM is being used (15513 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T14:13:13.673Z] : [warn]: There is a small amount of free memory (RAM) left, 90.2% of RAM is being used (14660 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T14:19:43.738Z] : [warn]: There is a small amount of free memory (RAM) left, 90.97% of RAM is being used (14784 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T14:22:43.758Z] : [warn]: There is a small amount of free memory (RAM) left, 93.81% of RAM is being used (15246 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T14:25:43.776Z] : [warn]: There is a small amount of free memory (RAM) left, 94.24% of RAM is being used (15316 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T14:27:13.674Z] : [warn]: There is a small amount of free memory (RAM) left, 90.55% of RAM is being used (14716 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T14:30:13.686Z] : [warn]: There is a small amount of free memory (RAM) left, 92.35% of RAM is being used (15008 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T14:33:13.720Z] : [warn]: There is a small amount of free memory (RAM) left, 92.28% of RAM is being used (14998 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T14:36:13.742Z] : [warn]: There is a small amount of free memory (RAM) left, 94.49% of RAM is being used (15356 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T14:39:13.754Z] : [warn]: There is a small amount of free memory (RAM) left, 97.05% of RAM is being used (15773 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T14:54:13.686Z] : [warn]: There is a small amount of free memory (RAM) left, 91.56% of RAM is being used (14881 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T14:57:43.726Z] : [warn]: There is a small amount of free memory (RAM) left, 90.2% of RAM is being used (14660 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T15:17:43.726Z] : [warn]: There is a small amount of free memory (RAM) left, 97.2% of RAM is being used (15797 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T15:20:43.789Z] : [warn]: There is a small amount of free memory (RAM) left, 91.67% of RAM is being used (14899 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T15:23:43.815Z] : [warn]: There is a small amount of free memory (RAM) left, 94.27% of RAM is being used (15320 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T15:26:43.832Z] : [warn]: There is a small amount of free memory (RAM) left, 94.7% of RAM is being used (15391 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T15:29:43.830Z] : [warn]: There is a small amount of free memory (RAM) left, 96.68% of RAM is being used (15713 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T15:32:43.854Z] : [warn]: There is a small amount of free memory (RAM) left, 97.48% of RAM is being used (15842 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T15:35:43.861Z] : [warn]: There is a small amount of free memory (RAM) left, 94.86% of RAM is being used (15416 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T15:38:43.881Z] : [warn]: There is a small amount of free memory (RAM) left, 98.57% of RAM is being used (16019 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T15:41:43.893Z] : [warn]: There is a small amount of free memory (RAM) left, 96.36% of RAM is being used (15660 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T15:44:43.913Z] : [warn]: There is a small amount of free memory (RAM) left, 99.12% of RAM is being used (16109 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T15:47:43.924Z] : [warn]: There is a small amount of free memory (RAM) left, 92.28% of RAM is being used (14997 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T15:49:43.721Z] : [warn]: There is a small amount of free memory (RAM) left, 90.22% of RAM is being used (14663 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T15:52:43.736Z] : [warn]: There is a small amount of free memory (RAM) left, 92.71% of RAM is being used (15068 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T15:55:43.750Z] : [warn]: There is a small amount of free memory (RAM) left, 93.55% of RAM is being used (15204 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T16:01:13.691Z] : [warn]: There is a small amount of free memory (RAM) left, 97.66% of RAM is being used (15872 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T16:04:13.709Z] : [warn]: There is a small amount of free memory (RAM) left, 95.9% of RAM is being used (15585 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T16:07:13.723Z] : [warn]: There is a small amount of free memory (RAM) left, 97.25% of RAM is being used (15805 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T16:10:13.731Z] : [warn]: There is a small amount of free memory (RAM) left, 96.79% of RAM is being used (15731 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-08T16:25:13.143Z] : [success]: Robot saved successfully

[2023-01-08T16:25:14.691Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.697Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.700Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.703Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.708Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.711Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.715Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.718Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.722Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.726Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.729Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.732Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.735Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.738Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.741Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.745Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.748Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.751Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.754Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.757Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.781Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.785Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.788Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.792Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.795Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.798Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.801Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.804Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.808Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.810Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.813Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.817Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.820Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.823Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.826Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.831Z] : [error]: Cannot read properties of null (reading 'type')

[2023-01-08T16:25:14.834Z] : [error]: Cannot read properties of null (reading 'type')

